PeriodId,AcHRev-204-replacerandom,AuthorshipRec-205-replacerandom,cHRev-203-replacerandom,LearnRec-208-replacerandom,RAR-213-replacerandom,RAR-214-addDefect_25,RAR-215-addDefect_50,RAR-216-addDefect_75,RetentionRec-207-replacerandom,RevOwnRec-206-replacerandom,Sofia-210-replacerandom,SofiaWL-211-replacerandom,TurnoverRec-209-replacerandom,WhoDo-212-replacerandom
1,200,300,200,1300,100,100,100,100,100,100,100,100,0,500
2,71.4285714285714,33.3333333333333,28.5714285714286,180.952380952381,14.2857142857143,-9.52380952380952,-4.76190476190477,-4.76190476190477,28.5714285714286,28.5714285714286,4.76190476190477,4.76190476190477,0,171.428571428571
3,23.5294117647059,1.96078431372548,3.92156862745099,123.529411764706,-25.4901960784314,-56.8627450980392,-37.2549019607843,-39.2156862745098,15.6862745098039,221.56862745098,-35.2941176470588,-13.7254901960784,-39.2156862745098,137.254901960784
4,281.25,-18.75,225,331.25,-42.1875,-79.6875,-56.25,-54.6875,-15.625,114.0625,-45.3125,-50,-51.5625,440.625
5,10.3975535168196,34.8623853211009,-20.1834862385321,35.1681957186544,-35.7798165137615,-48.0122324159021,-37.9204892966361,-37.308868501529,-27.5229357798165,-3.97553516819572,-37.308868501529,-35.7798165137615,-36.3914373088685,83.1804281345566
6,31.275720164609,50.2057613168724,-10.2880658436214,56.3786008230453,-18.9300411522634,-53.4979423868313,-45.2674897119342,-44.0329218106996,-10.6995884773663,16.4609053497942,-18.5185185185185,-17.6954732510288,-18.9300411522634,91.358024691358
7,38.7596899224806,34.8837209302326,-11.6279069767442,114.341085271318,-29.4573643410853,-60.077519379845,-53.4883720930233,-52.7131782945737,-13.953488372093,7.75193798449612,-29.0697674418605,-27.5193798449612,-29.8449612403101,142.635658914729
8,92.3076923076923,166.666666666667,-12.8205128205128,351.282051282051,-48.7179487179487,-76.9230769230769,-61.5384615384615,-51.2820512820513,-23.0769230769231,69.2307692307692,-51.2820512820513,-23.0769230769231,-51.2820512820513,351.282051282051
9,119.469026548673,134.513274336283,-7.96460176991151,155.752212389381,-22.1238938053097,-88.4955752212389,-35.3982300884956,-33.6283185840708,-7.07964601769912,27.4336283185841,-21.2389380530973,-18.5840707964602,-21.2389380530973,278.761061946903
10,27.1739130434783,40.7608695652174,-1.08695652173914,96.7391304347826,-10.8695652173913,-94.5652173913043,-63.0434782608696,-25.5434782608696,-4.89130434782609,10.3260869565217,-11.4130434782609,-4.34782608695652,-12.5,96.7391304347826
11,30.8,28,-5.6,104.4,-16,-94,-62,-35.6,-25.2,-10.4,-29.2,-26.8,-30.4,83.6
12,8.26771653543308,6.29921259842521,-9.84251968503937,106.692913385827,-16.9291338582677,-96.4566929133858,-70.0787401574803,-34.251968503937,-24.0157480314961,-12.2047244094488,-28.740157480315,-23.6220472440945,-28.3464566929134,78.3464566929134
13,66.4921465968586,38.2198952879581,21.4659685863874,131.937172774869,3.6649214659686,-92.1465968586387,-53.4031413612565,-6.80628272251309,-26.7015706806283,-13.0890052356021,-33.5078534031414,-22.5130890052356,-32.9842931937173,138.743455497382
14,19.6363636363636,1.45454545454546,-5.45454545454546,118.181818181818,-16.7272727272727,-83.2727272727273,-56,-24.3636363636364,-18.9090909090909,-13.0909090909091,-23.2727272727273,-20,-26.1818181818182,81.8181818181818
15,19.1126279863481,-3.07167235494881,-10.9215017064846,122.525597269625,-21.5017064846416,-61.0921501706485,-36.518771331058,-29.0102389078498,-22.5255972696246,-15.358361774744,-27.3037542662116,-22.5255972696246,-28.3276450511945,90.1023890784983
16,11.3636363636364,-5.68181818181818,-6.06060606060606,135.227272727273,-23.4848484848485,-51.1363636363636,-31.8181818181818,-29.1666666666667,-24.2424242424242,-18.1818181818182,-29.1666666666667,-24.6212121212121,-31.0606060606061,78.4090909090909
17,1.62601626016261,-26.2872628726287,-18.4281842818428,84.8238482384824,-41.7344173441734,-66.6666666666667,-52.0325203252032,-50.6775067750677,-43.6314363143631,-38.7533875338753,-48.5094850948509,-43.9024390243902,-49.5934959349593,73.9837398373984
18,-1.26582278481012,21.7721518987342,-21.2658227848101,68.3544303797468,-38.9873417721519,-66.3291139240506,-50.8860759493671,-44.3037974683544,-41.5189873417722,-37.2151898734177,-44.8101265822785,-41.0126582278481,-43.0379746835443,64.0506329113924
19,0.898876404494375,58.2022471910112,-19.7752808988764,66.7415730337079,-31.4606741573034,-57.9775280898876,-46.2921348314607,-40.4494382022472,-43.8202247191011,-34.1573033707865,-48.5393258426966,-32.3595505617978,-37.752808988764,75.0561797752809
Median,27.1739130434783,33.3333333333333,-7.96460176991151,118.181818181818,-22.1238938053097,-66.3291139240506,-50.8860759493671,-35.6,-22.5255972696246,-3.97553516819572,-29.1666666666667,-23.0769230769231,-30.4,91.358024691358
Average,55.3959547208167,47.228636568669,16.7178407758948,193.909352348825,-16.9700571001667,-59.8275504143377,-39.6817312361114,-28.3054443884464,-12.0608559209996,20.9989289065146,-24.0908419352295,-18.069666760972,-29.9289849525588,160.914471332309
